provider,run_mode,city,start_time,scrap_time,station_name,device_id,device_type,network,kw,status_label,available_connectors,total_connectors,lat,lng,address,data
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:39,,2730372,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,2,43.345406,5.448569,"{'streetAndNumber': 'Rue Albert Einstein 281', 'postalCode': '13013', 'city': 'Marseille', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:40,,2867770,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,2,43.281395,5.517073,"{'streetAndNumber': 'Boulevard Voltaire 158', 'postalCode': '13821', 'city': 'La Penne-sur-Huveaune', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:41,,2770419,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,2,43.380874,5.348994,"{'streetAndNumber': 'Vieille Route de la Gavotte', 'postalCode': '13170', 'city': 'Les Pennes-Mirabeau', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:42,,2568330,Domestic,Mouv'Elec Var,,FreePublic,null,2,43.185573,5.704812,"{'streetAndNumber': 'Avenue Aimé Carbonnel 2', 'postalCode': '83270', 'city': 'Saint-Cyr-sur-Mer', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:43,,2867792,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,2,43.393554,5.340986,"{'streetAndNumber': 'Vieille Route de la Gavotte', 'postalCode': '13170', 'city': 'Les Pennes-Mirabeau', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:44,,2867776,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,2,43.32522,5.455123,"{'streetAndNumber': 'Avenue des Poilus 83', 'postalCode': '13013', 'city': 'Marseille', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:45,,2867777,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,2,43.356012,5.193556,"{'streetAndNumber': 'Chemin du Stade', 'postalCode': '13820', 'city': 'Ensuès-la-Redonne', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:46,,2794925,Type2,NewMotion,,Unspecified,null,2,43.239492,5.397002,"{'streetAndNumber': ""Chemin du Roy d'Espagne 0"", 'postalCode': '13009', 'city': 'Marseille', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:47,,2597474,Type2,EV-Box,,Unspecified,null,1,43.162897,5.692096,"{'streetAndNumber': 'Allée des Vendanges', 'postalCode': '83270', 'city': 'Saint-Cyr-sur-Mer', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:47,,2901444,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,2,43.343455,5.463668,"{'streetAndNumber': 'Avenue Georges Pompidou 1', 'postalCode': '13380', 'city': 'Plan-de-Cuques', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:48,,2626666,Type2,EV-Box,,Unspecified,null,1,43.286833,5.595019,"{'streetAndNumber': 'Avenue du Douard 550', 'postalCode': '13400', 'city': 'Aubagne', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:49,,2903593,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,2,43.339068,5.053184,"{'streetAndNumber': 'Avenue de la Gare de la Couronne', 'postalCode': '13500', 'city': 'Martigues', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:50,,2867778,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,2,43.27085,5.383026,"{'streetAndNumber': 'Place Théo Lombard', 'postalCode': '13008', 'city': 'Marseille', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:51,,2813500,Type2,NewMotion,,Unspecified,null,2,43.239459,5.396975,"{'streetAndNumber': ""Chemin du Roy d'Espagne 0"", 'postalCode': '13009', 'city': 'Marseille', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:52,,2770413,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,2,43.40751,5.525681,"{'streetAndNumber': 'Chemin du Cimetière 71', 'postalCode': '13119', 'city': 'Saint-Savournin', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:53,,2901451,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,2,43.302721,5.400517,"{'streetAndNumber': 'Boulevard de la Blancarde 64', 'postalCode': '13004', 'city': 'Marseille', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:54,,2568320,Domestic,Mouv'Elec Var,,FreePublic,null,2,43.166973,5.694532,"{'streetAndNumber': 'Route de la Madrague 646', 'postalCode': '83270', 'city': 'Saint-Cyr-sur-Mer', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:55,,2867616,Type2,SuperU,,FreePublic,null,3,43.293862,5.402158,"{'streetAndNumber': '95 bvd sakakin', 'city': 'marseille', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:56,,2903609,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,2,43.287576,5.379221,"{'streetAndNumber': 'Rue Paradis 138', 'postalCode': '13006', 'city': 'Marseille', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:57,,2913997,Type2,Intermarché,,PayingPublic,null,3,43.443783,5.228066,"{'streetAndNumber': 'Marseille Aéroport, ZI La Couperigue', 'city': 'Vitrolles', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:57,,2903611,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,2,43.289968,5.356014,"{'streetAndNumber': 'Avenue de la Corse', 'postalCode': '13007', 'city': 'Marseille', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:58,,2867779,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,2,43.332432,5.109004,"{'streetAndNumber': ""Place des Droits de l'Homme 8"", 'postalCode': '13960', 'city': 'Sausset-les-Pins', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:59,,2903607,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,2,43.287646,5.373637,"{'streetAndNumber': 'Boulevard Notre Dame 51', 'postalCode': '13006', 'city': 'Marseille', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:35:00,,2867785,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,2,43.315138,5.397974,"{'streetAndNumber': 'Avenue des Chutes Lavie 39', 'postalCode': '13004', 'city': 'Marseille', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:35:02,,2903597,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,2,43.296597,5.370829,"{'streetAndNumber': 'Rue de la Loge 8', 'postalCode': '13002', 'city': 'Marseille', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:35:03,,2867788,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,2,43.238356,5.404021,"{'streetAndNumber': 'Rue Antoine Fortuné Marion 40', 'postalCode': '13009', 'city': 'Marseille', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:35:04,,2537011,Domestic,Mouv'Elec Var,,FreePublic,null,2,43.197869,5.754467,"{'streetAndNumber': 'Avenue Henri Jansoulin', 'postalCode': '83740', 'city': ""La Cadière-d'Azur"", 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:35:05,,2568315,Domestic,Mouv'Elec Var,,FreePublic,null,4,43.181444,5.708931,"{'streetAndNumber': 'Falquette', 'postalCode': '83270', 'city': 'Saint-Cyr-sur-Mer', 'country': 'FRA'}",
