provider,run_mode,city,start_time,scrap_time,station_name,device_id,device_type,network,access,kw,status_label,available_connectors,total_connectors,lat,lng,address,data
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:53:49,,DEVATL000162738,Type2,Vattenfall DE,FreePublic,,,null,2,52.4652953,13.3698855,"{'streetAndNumber': 'Alboinstraße 56', 'postalCode': '12103', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:53:50,,DEALLEGO000106,Type2,Allego,Unspecified,,,null,2,52.440122,13.316541,"{'streetAndNumber': 'Hindenburgdamm 29-ggü. 96', 'postalCode': '12203', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:53:51,,PP00421,Type2,innogy,FreePublic,,,null,2,52.488664,13.341212,"{'streetAndNumber': 'Grunewaldstr. 57', 'postalCode': '10825', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:53:52,,DEALLEGO000048,Type2,Allego,Unspecified,,,null,2,52.50789,13.449568,"{'streetAndNumber': 'Marchlewskistr. 107', 'postalCode': '10243', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:53:53,,DEALLEGO001061,Type2,Allego,Unspecified,,,null,1,52.55747,13.421816,"{'streetAndNumber': 'Hallandstr. 59', 'postalCode': '13189', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:53:53,,DEALLEGO000149,Type2,Allego,Unspecified,,,null,2,52.519615,13.385222,"{'streetAndNumber': 'Neustädtische Kirchstr. 8', 'postalCode': '10117', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:53:54,,DEALLEGO001199,Type2,Allego,Unspecified,,,null,2,52.468459,13.430205,"{'streetAndNumber': 'Emser Str. 39', 'postalCode': '12051', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:53:55,,1c32268d-13fe-47ae-aa52-decc3c79db36,Type2,Digital Energy Solutions,Unspecified,,,null,2,52.53151,13.28385,"{'streetAndNumber': 'Nonnendammallee 62-64', 'postalCode': '13629', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:53:56,,03003764,Type2,NewMotion,Unspecified,,,null,1,52.457689,13.3194,"{'streetAndNumber': 'Grunewaldstraße 3', 'postalCode': '12165', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:53:57,,03004302,Type2,NewMotion,Unspecified,,,null,1,52.457689,13.3194,"{'streetAndNumber': 'Grunewaldstraße 3', 'postalCode': '12165', 'city': 'Berlin', 'country': 'DEU'}",
